id,nev,cel,belepesi_pont,auth_szukseges,fo_interakciok,adatforrasok,validaciok,kezelt_allapotok,a11y
S01,Kezdolap,"A webshop fo ertekajanlatat, keresest, kategoriakat es kiemelt elemeket mutatja.","indulo / deep link",nem,"kereses; kategoriak; termekek megnyitasa; AI segito","products; promotions; local theme","kereso uresen is engedett","loading; empty; success","kontrasztos gombok; kepekhez alt szoveg; billentyuzettel elerheto linkek"
S02,Kategoriak lenyilo,"A fo kategoriak gyors elereset adja a navigacioban.",S01,nem,"kategoria valasztasa; menu bezarasa","statikus kategoriak; products szures","nincs urlapvalidacio",success,"menu vizualisan elkulonul; fokuszalhato elemek"
S03,Termeklista,"A vasarlo termekeket kereshet, szurhet es megnyithat.",S01/S02,nem,"kereses; kategoria szures; reszletek; kosarba","products collection","ures kereses engedett; mennyiseg pozitiv","loading; empty; error; success","olvashato kartyak; gombfeliratok; fokuszallapotok"
S04,Termekadatlap,"Egy konkret termek reszletes adatait es vasarlasi lehetoseget mutatja.",S03,nem,"mennyiseg; kosarba; kivansaglista; kapcsolodo termek","products; cart store; wishlist","mennyiseg pozitiv","loading; error; success","termekkep alt szoveg; egyertelmu CTA"
S05,Kosar,"A kosarba tett termekek mennyisegenek es osszegenek kezelese.",S03/S04,nem,"mennyiseg modositas; torles; tovabb checkout-ra","cart store / localStorage","mennyiseg legalabb 1; ures kosar kezelese","empty; success","tablazatos vagy kartyas elrendezes; egyertelmu torles gomb"
S06,Checkout,"A szallitasi, szamlazasi es fizetesi adatok megadasa rendeléshez.",S05,nem,"adatkitoltes; kupon; fizetesi mod; rendeles leadása","cart; orders; coupons; users","email; telefonszam; kotelezo mezok; iranyitoszam","error; success","label-ek; hibauzenetek; billentyuzetes kitoltes"
S07,Checkout validacio,"Hibas vagy hianyos adatoknal visszajelzest ad a felhasznalonak.",S06,nem,"adatok javitasa; visszalepes","checkout local state","email; telefonszam; kotelezo mezok","error","hibauzenetek a mezok kozeleben"
S08,Sikeres rendeles,"A rendelés sikeres letrehozasat jelzi es tovabblepesi lehetoseget ad.",S06,nem,"vissza termekekhez; profil megnyitasa","orders collection","nincs urlapvalidacio",success,"egyertelmu sikerallapot"
S09,Profil es rendelesek,"A bejelentkezett vasarlo sajat adatait es korabbi rendeleseit latja.",S17,igen,"profil modositas; rendelés allapot megtekintese; kijelentkezes","users; orders","profilmezok validacioja","loading; empty; success","szekciok es statuszok jol olvashatoak"
S10,Kivansaglista,"A felhasznalo elmentett termekeit jeleniti meg.",S01/S04,igen,"termek megnyitasa; torles; kosarba","wishlist; products","nincs urlapvalidacio","empty; success","ikonokhoz szoveges jelentest is ad"
S11,Admin attekintes,"Az admin vagy dolgozo fo statisztikai es navigacios felulete.",S17,igen,"fulvaltas; stat kartyak; admin modulok megnyitasa","orders; products; users","szerepkor ellenorzes","loading; success","admin kartyak es tabok egyertelmu hierarchiaval"
S12,Admin termekkezeles es CSV import,"Termekek felvitele, szerkesztese es tomeges importja.",S11,igen,"uj termek; szerkesztes; CSV import; torles","products; CSV parser","nev; ar; keszlet; kategoria; CSV sorvalidacio","error; success","hiba lista; nagy gombok; strukturalt urlap"
S13,Admin rendelesek,"Rendelesek listazasa, statuszkezelese es bizonylat letoltese.",S11,igen,"statusz modositas; szamla letoltes; email sablon","orders; orderStatusAudit","statusz es keszlet ellenorzes","loading; empty; success","statusz badge-ek; kartyas rendeleslista"
S14,Helyszini vasarlas,"Admin gyorsan rogzithet helyszini vasarlast mentett vagy uj vevovel.",S11/S13,igen,"mentett vasarlo; termekkereses; tetel hozzaadas; PDF","savedCustomers; products; orders","vasarlo neve; termek; mennyiseg; email/telefon formatum","error; success","nagy mezok; egyertelmu hiba- es sikeruzenetek"
S15,PDF bizonylat,"A rendeléshez tartozo PDF bizonylat megnyitasa vagy letoltese.",S13/S14,igen,"letoltes; megnyitas","invoice service; order data","rendelési adatok megléte","success; error","nyomtathato dokumentum"
S16,AI asszisztens,"A vasarlo termekkatalogushoz vagy epületgepeszeti temahoz kotott kerdeseket tehet fel.",S01/S03/S04,nem,"kerdes kuldese; gyors kerdes; valasz gorgetese","products; Cloudflare Worker; OpenRouter","ures kerdes; domain korlat","loading; error; success","modal bezarhato; gorgetheto valaszterulet"
S17,Login es regisztracio,"Bejelentkezes vagy uj fiok letrehozasa.",S01,nem,"email; jelszo; login; regisztracio","Firebase Auth; users","email; jelszo; kotelezo mezok","error; success","mezolabel-ek es hibauzenetek"
S18,Felhasznalok es jogosultsagok,"Admin felhasznalokat es szerepkoroket kezel.",S11,igen,"profil letrehozasa; szerepkor; letiltas; torles","users; savedCustomers","email; szerepkor; kotelezo mezok","loading; error; success","szerepkorok vizualisan elkulonitve"
S19,Kapcsolat,"A vasarlo kapcsolatfelveteli adatokat es uzenetkuldesi lehetoseget kap.",S01,nem,"kapcsolati adatok olvasasa; uzenet urlap kitoltese","statikus tartalom; newsletter/contact form state","nev; email; uzenet kotelezo mezok","success; error","label-ek; kontrasztos CTA; billentyuzettel kitoltheto mezok"
