name,price,category,image,stock,stockQuantity,sku,brand,shortDescription,description,isWeeklyDeal,isTopProduct,salePercent,saleStartsAt,saleEndsAt
Radiátor termosztát fej,6990,Fűtés,products/radiator-szelep.jpg,Keszleten,24,TDL-FUT-001,TDL,"Finom szabályozás radiátoros rendszerekhez.","Programozható radiátor termosztát fej lakossági és kisebb irodai rendszerekhez, energiatakarékos működéssel.",false,true,0,0,0
Padlófűtés cső 16x2 mm,32990,Fűtés,products/padlofutes-cso.jpg,Keszleten,18,TDL-FUT-002,TDL,"Ötrétegű cső padlófűtéshez.","Tartós, hajlékony 16x2 mm-es padlófűtés cső, új építéshez és felújításhoz is alkalmas.",false,true,0,0,0
PPR csővezeték 20mm,1290,Víz,products/golyoscsap.jpg,Keszleten,60,TDL-VIZ-001,AquaLine,"PPR cső vízszerelési munkákhoz.","20 mm-es PPR cső hideg- és melegvizes rendszerekhez, könnyű szerelhetőséggel.",false,false,0,0,0
Nyomáscsökkentő szelep,11990,Víz,products/golyoscsap.jpg,Keszleten,12,TDL-VIZ-002,FlowTech,"Stabil víznyomás biztosítására.","Rézházas nyomáscsökkentő szelep háztartási és kisebb ipari rendszerekhez.",true,false,10,1774915200000,1775519999000
Oldalfali split klíma 3.5 kW,189990,Hűtés,products/hvac-legcsatorna.jpg,Szallithato,6,TDL-HUT-001,CoolStar,"Lakossági hűtéshez és fűtésrásegítéshez.","Inverteres split klíma 3.5 kW teljesítménnyel, csendes üzemmel és wifi vezérléssel.",true,true,15,1774915200000,1776124799000
Kondenzvíz elvezető cső,2190,Hűtés,products/hvac-legcsatorna.jpg,Keszleten,40,TDL-HUT-002,CoolStar,"Rugalmas cső klímákhoz.","Kondenzvíz elvezetésére szolgáló hajlékony cső split klíma rendszerekhez.",false,false,0,0,0
Légtechnikai 90 fokos idom,3190,Szellőzés,products/hvac-legcsatorna.jpg,Keszleten,28,TDL-SZL-001,VentPro,"90 fokos forduló idom szellőzéshez.","Horganyzott légtechnikai idom szellőzőrendszerek irányváltásához.",false,true,0,0,0
Csőbilincs készlet,7560,Szerelvények,products/golyoscsap.jpg,Keszleten,35,TDL-SZER-001,FixHold,"Gyors csőrögzítéshez.","Több méretet tartalmazó csőbilincs készlet víz-, fűtés- és szellőzéstechnikai szereléshez.",false,false,0,0,0
Menettömítő zsinór,990,Megoldások,products/golyoscsap.jpg,Keszleten,80,TDL-MEG-001,SealPro,"Menetes kötések gyors tömítéséhez.","Professzionális menettömítő zsinór csőhálózatok és szerelvények biztonságos tömítéséhez.",false,false,0,0,0
Lakossági vízszűrő patron,3902,Lakossági megoldások,products/golyoscsap.jpg,Keszleten,26,TDL-LAK-001,PureHome,"Ivóvíz minőségének javítására.","Cserélhető szűrőbetét háztartási víztisztító rendszerekhez, egyszerű beépítéssel.",true,false,5,1774915200000,1776124799000
