name;price;category;image;galleryImages;stock;stockQuantity;sku;brand;shortDescription;description;isWeeklyDeal;isTopProduct;salePercent;saleStartsAt;saleEndsAt
Ariston Clas One WIFI 24 kondenzációs kombi gázkazán;345990;Fűtés;products/futes/ariston_kazan_fo.jpg;products/futes/ariston_kazan_1.jpg|products/futes/ariston_kazan_2.jpg|products/futes/ariston_kazan_3.jpg;Raktáron;1;TDL-FUT-001;Ariston;Ariston Clas One Wifi 24 kondenzációs kombi gázkazán;"Termékleírás és műszaki adatok
Ariston Clas One Wifi 24 kondenzációs kombi gázkazán
A méltán híres, több mint 50 éves tapasztalattal rendelkező olasz Ariston meghatározó szerepet tölt be az épületgépészeti piacon. A gyártás során a kifinomult olasz dizájn mellett kimagasló a funkcionalitás is. Célja a fogyasztók igényeinek felmérése és annak teljeskörű kielégítése. Ennek és a lenyűgözően nagy termékválasztékának köszönhetően olyan megoldásokat kínál melynek eredményeképp egy minden igényt kielégítő gyártónak minősül globálisan.

A One-sorozat tagjai egy még magasabb színvonalat, minőséget és kifinomultabb formatervezést képviselnek. Az Ariston Clas One WiFi kondenzációs kombi fali kazán fűtésre és meleg víz előállítására egyaránt alkalmas. A kazánt XtraTech rozsdamentes acél hőcserélővel látták el, mely a nagyobb csöveknek köszönhetően jobb vízáramlást biztosít, ezáltal növelve a fűtési teljesítményt és megelőzve a törmelék okozta eltömítődést. Számos funkció gondoskodik az Ön kényelméről: Auto - és Komfort funkció. Az Auto funkcióval automatikusan beállíthatja otthona fűtését a külső környezeti feltételekhez és a berendezés típusához alkalmazkodva. A Komfort funkciónak köszönhetően csökkenthető a használati melegvíz elvételekor tapasztalható várakozási idő, szinte azonnal melegvizet biztosít. A kazán egyszerű használatát az LCD kijelző garantálja, melynek menüje könnyedén értelmezhető és kezelhető. A One+ WiFi kazánok beépített Wi-Fi csatlakozóval rendelkeznek, ezáltal lehetőséget biztosít az Ariston NET alkalmazással való összekapcsoláshoz. Az Ariston NET segítségével okostelefonjával, tabletével is folyamatos megfigyelés alatt tarthatja kazánját, egyszerűen kezelheti fűtésrendszere főbb funkcióit (be- és kikapcsolás, hőmérséklet beállítás stb.) bármilyen távolságból. Használatával az a hőmérséklet fogja fogadni otthonában, amit szeretne, anélkül, hogy energiát pazarolna. Az Ariston Clas One WiFi belső vezérlésen keresztül védett a nem megfelelő működés kiküszöbölésére. A belső vezérlésben egy mikroprocesszoros kártya biztonsági zárolást hoz működésbe, ha szükséges. Ez lehet biztonsági és zárolási leállás. Biztonsági leállás esetén ha megszűnik az előidézett ok, a hiba automatikusan eltűnik. Amint a zárolás oka megszűnik, a kazán újraindul, és tovább működik. Zárolási leállás esetén pedig nem tűnik el a hiba automatikusan az ok megszüntetésével. Ebben az esetben nem indul újra a kazán, a normál működés visszaállítására meg kell nyomni a vezérlőpanelen a RESET gombot.

Falra szerelhető kondenzációs kombi gázkazán
Xtratech rozsdamentes acél hőcserélővel rendelkezik
LCD kijelző és könnyen értelmezhető menü az egyszerű használatért
Kompatibilis a Cube S Net Wi-Fi termosztáttal és az Ariston NET app távirányítóval
Engedélyezett égéstermék-elvezető rendszerek: C13, C23, C33, C43, C53, C63, C83, C93, B23, B23P, B33
Folyamatos megfigyelés alatt tarthatja kazánját, bármilyen távolságból vezérelheti otthona hőmérsékletét
Automatikus égésvezérlésű és a gázminőséghez alkalmazkodó innovatív gyújtásvezérlő rendszer
A készülékek kialakítása lehetővé teszi a különböző gáztípusokkal történő használatot
Kompakt szerkezet a könnyű hozzáférésért és egyszerű karbantartásért
Stabil és egyenletes fűtési teljesítményt biztosít
Auto és Komfort funkcióval az Ön kényelméért
Ariston NET alkalmazással vezérelhető
Megfelel az ErP szabályozásnak
Egyszerű telepítés jellemzi
Fagymentesítő funkció
Alacsony NOx szint
Hosszú élettartam
Kiváló minőség
Olasz gyártmány
10 év garancia a kazántestre és az Xtra Tech hőcserélőre
3 év alap garancia + 2 év kiterjesztett garancia a meghatározott feltételek teljesülése esetén
Fűtési energiahatékonysági besorolás: A
HMV energiahatékonysági besorolás: A
Vízvételi profil nagysága: XL
A beüzemelést kizárólag garanciális szakszerviz végezheti el!

A kép csupán illusztráció!


Műszaki adatok
Magasság: 745 mm
Szélesség: 400 mm
Mélység: 315 mm
Névleges hőteljesítmény: 3,3 - 22,0 kW
Használati melegvíz termelés névleges hőteljesítmény: 3,3 - 26,0 kW
Fűtőteljesítmény (80°C - 60 °C): 3,1 - 21,4 kW
Fűtőteljesítmény (50°C - 30 °C): 3,5 - 23,6 kW
Használati melegvíz fűtőteljesítmény: 3,2 - 24,9 kW
Hatásfok mért hőteljesítményen és magas hőmérsékleten: 87,8 %
Hatásfok a mért hőteljesítmény 30%-án és alacsony hőmérsékleten: 98,9 %
Szezonális helyiségfűtési hatásfok: 94 %
Vízmelegítési hatásfok: 83 %
Égés hatásfok (égéstermék): 98,0 %
Fűtési hőmérséklet (magas hőmérséklet-tartomány): 35 - 82 °C 
Fűtési hőmérséklet (alacsony hőmérséklet-tartomány): 20 - 45 °C
Használati melegvíz hőmérséklet: 36 - 60 °C
Minimális környezeti működési hőmérséklet: >0 °C
Használati melegvíz fajlagos térfogatáram (∆T=30 °C): 12,1 l/min
Melegvíz mennyiség ∆T=25 °C: 14,5 l/min
Melegvíz mennyiség ∆T=35 °C: 10,4 l/min
Éves villamosenergia-fogyasztás: 44 kWh
Tápfeszültség és frekvencia: 230 V, 50 Hz
Használati melegvíz nyomás: 0,2 - 7,0 bar
Központi fűtés maximális nyomás: 3 bar
Tágulási tartály előnyomás: 1 bar
Összes felvett teljesítmény: 88 W
Tágulási tartály űrtartalma: 8 liter
Elektromos védettség: IP X5D
NOx osztály: 5
Zajszint: 49 dB
Súly: 30 kg";false;false;0;0;0
Computherm Q3RF szobatermosztát rádiófrekvenciás (Q3RF);16500;Fűtés;products/futes/computherm_termosztat.jpg;;Raktáron;12;TDL-FUT-002;Computherm;Computherm Q3 RF szobai fűtéstermosztát vezeték nélkül;"Termékleírás és műszaki adatok
Computherm Q3 RF szobai fűtéstermosztát vezeték nélkül
Computherm Q3 RF vezeték nélküli szobai termosztát megújult szoftverrel, digitális kijelzővel, nagy gombokkal, 0,2 °C-os kapcsolási érzékenységgel. Két egységből áll: a vevőből, amely a kazánt vezérli, valamint a hordozható szabályozóból (termosztát). Közöttük rádiófrekvenciás jel biztosítja a kapcsolatot, így nincs szükség vezeték kiépítésére. Egy lakásban akár több termosztát is üzemeltethető. A készülék nem programozható, de beállítható egy komfort (nappali) és takarék (éjszakai) hőmérséklet.

A megújult szoftverrel ellátott termosztáttal szinte az összes Magyarországon kapható kazán szabályozása lehetséges
Bár nem programozható, de a hagyományos termosztátoknál sokkal gazdaságosabb és energiatakarékosabb megoldás, mivel digitális kijelzője pontosabb hőmérsékletmérést és beállítást tesz lehetővé
Olyan kazánok esetében használható, amelyek kétvezetékes csatlakozással rendelkeznek a szobatermosztát bekötésére
A vevő és az adó közötti rádiófrekvenciás kapcsolat pontos és megbízható hőfokszabályozást biztosít, ráadásul a beépítés semmilyen vezetékelést nem igényel
A kapcsolási érzékenység ennél a készüléknél 0.2°C, vagyis a beállított hőmérséklethez képest ekkora különbséget érzékelve vezérli a kazánt
Hosszú élettartam
Kiváló minőség
2 év garancia
A kép csupán illusztráció!


Műszaki adatok
Méret: 110x80x22 mm
Beállítható hőmérséklet-tartomány: 5 - 35 °C
Hőmérséklet mérési pontosság: ± 0,5 °C
Választható kapcsolási érzékenység: ± 0,1 °C, ± 0,2 °C
Telepfeszültség: 2x1,5 V alkáli elem (LR6 AA)
Kapcsolható feszültség: 24 -250 V, 50 H
Hatótávolság: kb. 50 m nyílt terepen";false;false;0;0;0
Ariston Cube S NET Wi-Fi okos szobatermosztát;79990;Fűtés;products/futes/ariston_termosztat_fo.jpg;products/futes/ariston_termosztat_1.jpg;Raktáron;5;TDL-FUT-003;Ariston;Ariston Cube S NET Wi-Fi okos szobatermosztát;"Termékleírás és műszaki adatok
Ariston Cube S Net szobai érzékelő
A méltán híres, több mint 50 éves tapasztalattal rendelkező olasz Ariston meghatározó szerepet tölt be az épületgépészeti piacon. A gyártás során a kifinomult olasz dizájn mellett kimagaslóan nagy szerepet tölt be a funkcionalitás is. Célja a fogyasztók igényeinek felmérése és annak teljeskörű kielégítése. Ennek és a lenyűgözően nagy termékválasztékának köszönhetően olyan megoldásokat kínál melynek eredményeképp egy minden igényt kielégítő gyártónak minősül globálisan.

Az Ariston Cube S Net szobai termosztát áramellátása közvetlenül a BUS-ról történik. Nagy méretű kijelzője, valamint érintőképernyős kezelőfelülete kényelmes és egyszerű használatot biztosít. Az Ariston Nettel otthonától távol, számítógépen vagy okostelefonon keresztül ki- és bekapcsolhatja a fűtést, valamint ellenőrizheti a használati víz hőmérsékletét és a fűtést.

Wifis szobai termosztát
Áramellátása közvetlenül a BUS-ról történik
Automatikus üzemmódban a külső hőmérsékletet az internetről tölti le
Összeköttetést biztosít az Ariston Genus One és Clas One kazánok, illetve az Ariston Net között
Nagyméretű kijelző és érintőképernyős kezelőfelülete egyszerű használatot biztosít
Ariston Net csatlakozási lehetőséggel
Az áramellátás a BUS-ról történik
Nyaralási funkcióval
Egyszerűen beépíthető
Hosszú élettartam
Kiváló minőség
1 év garancia
A kép csupán illusztráció!


Műszaki adatok
Magasság: 104 mm
Szélesség: 104 mm
Mélység: 19 mm
Áramellátás: BUS
Üzemi hőmérséklet: 0 - 40°C
Hőmérséklet pontossága: ± 0,5 °C
BUS kábel hossza: maximum 50 m
BUS kábel keresztmetszete: minimum 0,5 mm2
Szigetelési osztály: III
Védelmi szint: IP 20";false;false;0;0;0
Kazi Totya-S 28 +szigetelés +huzatszabályzó;399990;Fűtés;products/futes/kazi_totya_kazan_fo.jpg;products/futes/kazi_totya_kazan_1.jpg;Raktáron;2;TDL-FUT-004;Kazi Totya;Kazi Totya-S 28 öntvényrostélyos, vegyes tüzelésű kazán, szigeteléssel, huzatszabályzóval;"Termékleírás és műszaki adatok
Kazi Totya-S 28 öntvényrostélyos, vegyes tüzelésű kazán, szigeteléssel, huzatszabályzóval
A Totya S-28 öntvényrostélyos, vegyestüzelésű kazán, tökéletes megoldás családi házak és sorházak fűtésére. Nagyméretű tüzelőajtajának köszönhetően tisztítása egyszerű, kezelése könnyű. Nem csak megbízható és hosszú élettartamú, de hatásfoka is igen jónak mondható a vegyestüzelésű kazánok körében.

Öntvényrostélyos, vegyes tüzelésű kazán
Külső része Lv 3-as lemezből, belső része Lv 5-ös lemezből készült
Nyílt és zárt fűtési rendszerhez egyaránt illeszthető
Huzatszabályzóval, az optimális működésért
Szigeteléssel együtt kapható
Hazai termék
2 év garancia
A kép csupán illusztráció!


Műszaki adatok
Mélység: 580 mm
Magasság: 1107 mm
Szélesség: 460 mm
Füstcső átmérő: 130 mm
Hatásfok: fa 83%, szén 84%
Tüzelőajtó mérete: 310x310 mm
Töltő-ürítő csatlakozás: 1/2""
Elmenő-visszatérő csatlakozás: 2""
Elmenő csatlakozó magassága: 1160 mm
Maximális teljesítmény: fa 29 kW, szén 33 kW
Visszatérő csatlakozó magasság: 220 mm
Minimális hőteljesítmény: 12 kW
Névleges hőteljesítmény: 28 kW
Tűztér mérete: 380x310x470 mm
Üzemi hőmérséklet: 50 - 90 ºC
Maximum üzemi nyomás: 2 bar
Füstcső magasság: 1220 mm
Víztérfogat: 90 liter
Huzatigény: 0,2 mbar
Próbanyomás: 4 bar
Súly: 188 kg";false;false;0;0;0
Atmos DC50S faelgázosító kazán;2012399;Fűtés;products/futes/atmos_fo.jpg;products/futes/atmos_1.jpg;Raktáron;1;TDL-FUT-005;Atmos;Atmos DC50S faelgázosító kazán 50 kW;"Termékleírás és műszaki adatok
Atmos DC50S faelgázosító kazán
Az Atmost 1935-ben alapították meg Csehországban. Kezdetben gépkocsik és hajók elgázosító egységeinek gyártásával foglalkoztak, majd 1980-ban bemutatták az első fa- és fahulladék elgázosító kazánjukat. Napjainkra Európa egyik legnagyobb fa- és széntüzelésű kazángyártójává nőtte ki magát.

Gazdaságos üzemelésű, kisméretű és tömegű, így könnyebben beszerelhető Atmos DC 50 S faelgázosító kazán. A berendezés szabályozása rendkívül meggyőző: először is, a füsttermosztát azonnal kikapcsolja a ventilátort, ha a fa elégett, másodsorban pedig ventilátor nélkül is üzemképes alacsonyabb teljesítményen, ami azért kiemelt fontosságú, mert egy esetleges áramszünet idején sem marad a használója fűtés nélkül. A kazánba nagyméretű fa is berakható, ezzel időt és energiát takarítható meg a favágáskor és hasításkor.

Ideális választás, ha nem akar sok időt tölteni a favágással és hasítással, mivel nagyobb fadarabok is könnyedén elégethetők a kazánban
Mind az égéstér, mind az adagolótér magas minőségű, 6 mm vastag acéllemezből készült
A szívóventilátornak köszönhetően könnyebb a begyújtás és minimális a füst kiáramlása
Átgondolt szerkezeti felépítés, mely egyszerűvé és problémamentessé teszi a kezelését
A kazán tisztítása és a hamu eltávolítása gyorsan és egyszerűen megoldható
A túlfűtés megakadályozása érdekében hűtőhurokkal van felszerelve
A készülék kezelését, tisztítását bárki könnyedén elsajátítja
A füsttermosztát kikapcsolja a ventilátort a fa elégése után
A ventilátor segíti az egyenletes és hatékony égetést
A kazán környezetbarát módon működtethető
Praktikus használat, nagy adagolótér
A begyújtás rendkívül egyszerű
Hosszú élettartam
Kiváló minőség
Cseh gyártmány
A kép csupán illusztráció!

Műszaki adatok
Magasság: 1260 mm
Szélesség: 670 mm
Mélység: 1170 mm
Víztérfogat: 89 l
Teljesítménytartomány: 35 - 49,9 kW
Hatásfoka: 81 - 90%
Adagoló térfogata: 180 dm3
Fa maximális hosszúsága: 730 mm
Előírt kéményhuzata: 25 Pa
Füstgázcsatlakozás: 152 mm
A visszatérő víz minimális üzemi hőmérséklete: 65 °C
Súly: 433 kg";false;false;0;0;0
Hajdu PT HC 200 puffertároló;179990;Fűtés;products/futes/hajdu_pt_fo.jpg;products/futes/hajdu_pt_1.jpg|products/futes/hajdu_pt_2.jpg|products/futes/hajdu_pt_3.jpg;Raktáron;4;TDL-FUT-006;Hajdu;Hajdu PT HC 200 puffertároló hőszivattyús rendszerekhez hőcserélő nélkül, hűtési-fűtési, 200 literes;"Termékleírás és műszaki adatok
Hajdu PT HC 200 puffertároló
A HAJDU Hajdúsági Ipari Zrt. 1957-ben kezdte meg háztartási gépek gyártását. Eleinte csak centrifugákat és mosógépeket készítettek, majd fokozatosan bővítették termékpalettájukat többek között forróvíztárolókkal, indirekt tárolókkal, szolár rendszerekkel, bojlerekkel, puffertárolókkal és kazánokkal is. A vállalat számára fontos, hogy a fogyasztói igényeket minél magasabb szinten elégítse ki, kiváló minőségű, környezetbarát termékeket biztosítva vásárlói számára, melyekhez széleskörű és biztos szerviz- és pótalkatrész ellátást garantál.

A hőcserélő nélküli Hajdu PT HC 200 puffertároló a fűtési-hűtési rendszerek energiatárolójaként szolgál. Kiegyenlíti a hőtermelő/hőleadó és a hőigény időbeli eltérését, ezzel garantálva a komfortosságot. Mivel a tartály belső felületének nincs korrózióvédelme, így csak nem maró hatású fűtő-hűtőfolyadékkal tölthető fel. Ivóvíz tárolására nem alkalmas. A Hajdu PT HC puffertárolót acéltartály, poliuretán hab szigetelés, műanyag köpeny és fedél alkotja.

Álló elhelyezésű, zártrendszerű puffertároló
Elsősorban hőszivattyús rendszerekhez ajánlott
Hosszú időn keresztül biztosítja fűtő-hűtőfolyadék hőn tartását
5 darab G 6/4"" belső menetes csatlakozócsonkot tartalmaz a hőtermelők és hőleadók csatlakoztatásához
2 darab G 1/2"" belső menetes csonkkal rendelkezik a hőérzékelők csatlakoztatásához
Biztonsági szelep beépítése kötelező - nem képezi a termék részét
47 mm vastag szigeteléssel ellátva
Ivóvíz tárolására nem használható
Hőcserélő nélküli kivitel
Hosszú élettartam
Kiváló minőség
Magyar termék
3 év teljes körű garancia
Energiahatékonysági besorolás: C
A kép csupán illusztráció!

Műszaki adatok
Magasság: 1474 mm
Átmérő: 546 mm
Űrtartalom: 202 l
Vízcsatlakozások: Belső menetes G 6/4""
Hőérzékelő csonkok: Belső menetes G 1/2""
Készenléti energiafelhasználás: 4,85 kWh/24h
Maximális üzemi nyomás: 0,6 MPa
Hőtárolási veszteség: 65 W
Súly: 42 kg";false;false;0;0;0
Install CALIDUM Egyenes, Fehér Törölközőszárító Radiátor 500x800;19990;Fűtés;products/futes/intall_calidum_fo.jpg;;Raktáron;10;TDL-FUT-007;Install;Install Calidum egyenes törölközőszárítós radiátor 500x800 fehér;"Termékleírás és műszaki adatok
Install Calidum egyenes törölközőszárítós radiátor 500x800 fehér
Az Install radiátorok kialakításuknak köszönhetően hatékony, gyors felmelegedést biztosítanak, emellett beépítésével jelentős energiamegtakarítást és magasabb komfortérzetet érhetünk el.

Egyenes kivitelű törölközőszárítós radiátor
Négypontos csatlakozással rendelkezik
Hosszú élettartam
Kiváló minőség
1 év garancia
A kép csupán illusztráció!


Műszaki adatok
Szélesség: 500 mm
Névleges magasság: 800 mm
Kötés távolság: 455 mm
Teszt nyomás: 10,4 bar
Robbanási nyomás: 13,5 bar
Alapanyag: acél
Maximális üzemi nyomás: 8 bar
Maximális üzemi hőmérséklet: 120°C
Maximális felületi hőmérséklet: 95°C
Hőteljesítmény (90/70°C-on): 408 W
Víztérfogat: 3,08 liter
Bordák mérete: 22 mm
Bordák száma: 14 db
Bordák elosztása: 6/5/3
Felület: fehér
Súly: 4,95 kg";false;false;0;0;0
LAMPART konvektor LB-50 kéményes;222990;Fűtés;products/futes/lampart_fo.jpg;;Raktáron;4;TDL-FUT-008;Lampart;Lampart LB-50 kéményes konvektor;"Termékleírás és műszaki adatok
Lampart LB-50 kéményes konvektor
A Lampart LB-50 nyílt égésterű, kéményes gázkonvektor amellett, hogy kitűnő minőségű, esztétikus megjelenésű is. Méretének köszönhetően tökéletesen illik Szobákba, konyhába, ebédlőkbe. Tűzzománcozott burkolata biztosítja a hosszan tartó színstabilitást és a könnyű tisztíthatóságot. A rozsdamentes acél égő minimalizálja az égéstermék-kibocsátást, mely így jóval a megengedett határérték alatt van.

Gázkonvektor
Kéményes kivitel
Nyílt égésterű, kéménybe kötése szükséges
Védett a füstgáz visszaáramlás ellen, így a kémény eldugulása elkerülhető
Gyorsan üzembe helyezhető
Automatikus hőfokszabályozás
Alacsony szervizigényű
Országos szervizlefedettség
Burkolata tűzzománcozott
Esztétikus megjelenés
Hosszú élettartam
Magas fokú színstabilitás jellemzi
Tartós, megbízható működés
Kiváló minőség
Magyar gyártmány

Műszaki adatok
Névleges hőterhelés 6,8 kW
Befűthető légtér: 60-120 m3
Földgáz fogyasztás: 740 l/h
PB-gáz fogyasztás: 210 l/h
Hatásfok (földgáz): 87 %
Kéményes füstcső átmérője: 76 mm
Szélesség: 750 mm
Magasság: 620 mm
Mélység: 490 mm
Súlya: 33 kg
Színe: Bézs";false;false;0;0;0
Honeywell merülő hőmérséklet érzékelőstermosztát;55990;Fűtés;products/futes/honeywell_fo.jpg;;Raktáron;5;TDL-FUT-009;Honeywell;"Honeywell merülő hőmérséklet érzékelős termosztát 2m kapill., merülőh. nélkül 1/2"" M30x1,5 10...50°C";"Termékleírás és műszaki adatok
Honeywell merülő hőmérséklet érzékelőstermosztát
A méltán híres Honeywell 1992 óta van jelen Magyarországon termékeivel, ezzel is erősítve a hazai automatizálási és szabályozástechnikai iparágakat. Vezető szerepét innovatív megoldásainak köszönheti, melyet szerte a világban különféle iparágak teljes körű kiszolgálásával érte el.

A Honeywell T100RS-DA folyadéktöltetű érzékelővel ellátott radiátor termosztát termosztatikus radiátor szeleptestekhez alkalmazható. Fűtési rendszerekhez, hőmérséklet illetve zónaszabályozáshoz kialakítva. A belsejében lévő szelep a külső hőmérséklet változásokat érzékelve a folyadéktöltetű érzékelő segítségével, és a hőtágulást kihasználva nyit vagy zár a beállított hőmérséklet alapján.

T100RS-DA folyadéktöltetű érzékelővel ellátott radiátor termosztát.
Belső menetes csatlakozással
Kézi szabályozású kivitel
Folyadéktöltetű hőmérséklet elem
Távérzékelővel illetve becsavarozható érzékelővel
Egyutú, illetve kétutú szelepekre egyaránt szerelhető.
Rendszer ürítése nélkül elvégezhető a termosztát cseréje.
Gyors reagálású érzékelő
Szabályozhatósága kimagaslóan pontos
Túlhevülés elleni védelem
A megfelelő hőmérséklet beállításához 1-től 5-ig számozott szabályozási skálával rendelkezik.
Fűtési rendszerekhez, hőmérséklet szabályozáshoz.
Egyszerű szerelést igényel
Kiváló minőség
A kép csupán illusztráció!


Műszaki adatok
Méret: 244x82x54 mm
Zárási méret: 11,5 mm
Beállítási tartomány: 10-50 °C
Szín: Fehér
Szeleptest-fej csatlakozás: M30 x 1,5
Kapilláris cső hossza: 2 m
Hőmérséklet skála: 1-12
Maximum közeghőmérséklet: 120 °C
Üzemi nyomás: maximum 10 bar
Nyomásesés:  maximum 1,2 bar
Reakcióidő: 5 s
Túlhevülés elleni védelem: 40K-nel a beállított érték felett
Merülőhüvely anyaga: Nikkelezett sárgaréz
Hollandi anyaga: Nikkelezett sárgaréz
Ház anyaga: Műanyag
Kézikerék anyaga: Műanyag";false;false;0;0;0
Napkollektor KIT;669990;Fűtés;products/futes/emmeti_fo.jpg;;Raktáron;2;TDL-FUT-010;Emmeti;Napkollektor KIT 150 literes tartállyal NVSN1S/150;"Termékleírás és műszaki adatok
Kisebb vízfogyasztású családi házakhoz, vagy hétvégi házakhoz, nyaralókhoz javasolt napkollektoros rendszer.
A napkollektorok a tároló teljes térfogatát fel tudják fűteni.

NVSN1S 150 természetes keringtetésű napkollektoros készlet, amely a következőket tartalmazza:
- 1 db napkollektor
- Üvegbevonatú duplafalú acél tartály
- Univerzális rögzítőrendszer lapostetőre történő szereléshez (kb. 45°-os lejtés)

Telepítőkészlet tartalma:
- 1 db 5 literes propilénglikol csomag
- 3 bar-os biztonsági szelep (napkollektor kör)
- 6 bar-os biztonsági szelep (használati melegvíz kör)
- szigetelt rozsdamentes acélcsövek az elosztó-tároló tartály csatlakoztatásához
- hidraulikus szerelvények és rögzítő csavarok

A napkollektor műszaki adatai
- Abszorber: alumínium szelektív felülettel, vastagság 0,5 mm
- Burkolat: 4 mm vastag edzett üveg
- Méretek (H x Ma x Mé): 2040 x 1040 x 88 mm
- Bruttó felület: 2,11 m2
- Nettó felület: 1,91 m2
- Csatlakozások (4 db rézcső): Ø22 mm
- Max. Üzemi nyomás: 10 bar
- Stagnálási hőmérséklet: 195 °C
- Üres tömeg: 38 kg

A tartály műszaki adatai
- Méretek (H x átmérő): 1055 x Ø580 mm
- Anyag: edzett acél
- Hasznos térfogat: 152 liter
- Védelem: 2 magnéziumanód
- 1,5 kW elektromos ellenállással felszerelve
- Oldalsó ellenőrző peremmel felszerelve
- Háztartási kör max. nyomása: 6 bar
- Szolár kör max. nyomása: 3 bar
- Csatlakozások: G 3/4"" F
- Disszipáció: 54 W
- Energiahatékonysági osztály: B
- Üres tömeg: 67 kg

A teljes készlet műszaki adatai
- Hőátadó folyadék térfogata 9,45 liter
- Megfelel az UNI EN 12976 szabványnak
- Solar Keymark tanúsítvány";false;false;0;0;0
